,item,price
0,Apple iPhone SE (128&nbsp;GB) - Blanco,"$11,999.01"
0,Apple iPhone 12 Pro (512&nbsp;GB) - Color plata,"$26,599.00"
0,Apple iPhone 12 Pro Max (512&nbsp;GB) - Color grafito,"$33,999.00"
0,Apple iPhone SE (128&nbsp;GB) - (Product) Red,"$11,999.01"
0,Apple iPhone 12 Pro (512&nbsp;GB) - Azul pacífico,"$26,599.00"
0,Apple iPhone 12 Pro Max (512&nbsp;GB) - Color oro,"$28,499.00"
0,MATEPROX Funda iPhone 11 Claro Delgado Anti-Amarillo para Servicio Pesado Parachoques Protector a Prueba de Golpes Funda para iPhone 11 6.1 Pulgada-Rosa,$329.99
0,Apple iPhone SE (128&nbsp;GB) - Negro,"$11,999.01"
0,Apple iPhone 12 Pro (512&nbsp;GB) - Color grafito,"$30,999.00"
0,Apple iPhone 12 Pro Max (512&nbsp;GB) - Color plata,"$33,999.00"
0,MATEPROX Funda iPhone 11 Pro MAX Funda Transparente Anti-rasguños Anti-resbaladiza Anti-Amarillo Parachoque Funda para iPhone 11 Pro MAX 6.5 Pulgada-Rosa,$329.99
0,Apple iPhone SE (64&nbsp;GB) - Blanco,"$10,999.00"
0,Apple iPhone 12 Pro (512&nbsp;GB) - Color oro,"$30,999.00"
0,SURPHY Funda iPhone 11 Casa de Silicona líquida con diseño de Engrosamiento de Cuerpo Completo (con Forro de Microfibra)Funda para iPhone 11 6.1 Pulgadas (Verde Cactus),$319.99
0,Funda iPhone 11 MOBO Protector Litmus Transparente iPhone 11 Case iPhone 11,$329.00
